*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 10:28:13:721880" "withmeness: 0.561159879818"
"2016-01-26 10:28:14:723070" "withmeness: 0.561159879818"
"2016-01-26 10:28:15:748402" "withmeness: 0.561159879818"
"2016-01-26 10:28:16:748345" "withmeness: 0.561159879818"
"2016-01-26 10:28:17:749599" "withmeness: 0.561159879818"
"2016-01-26 10:28:18:750788" "withmeness: 0.561159879818"
"2016-01-26 10:28:19:751774" "withmeness: 0.561159879818"
"2016-01-26 10:28:20:752898" "withmeness: 0.561159879818"
"2016-01-26 10:28:21:754244" "withmeness: 0.561159879818"
"2016-01-26 10:28:22:755310" "withmeness: 0.561159879818"
"2016-01-26 10:28:23:756551" "withmeness: 0.561159879818"
"2016-01-26 10:28:24:757966" "withmeness: 0.561159879818"
"2016-01-26 10:28:25:759143" "withmeness: 0.561159879818"
"2016-01-26 10:28:26:760207" "withmeness: 0.561159879818"
"2016-01-26 10:28:27:761527" "withmeness: 0.561159879818"
"2016-01-26 10:28:28:762718" "withmeness: 0.561159879818"
"2016-01-26 10:28:29:763915" "withmeness: 0.561159879818"
"2016-01-26 10:28:30:765169" "withmeness: 0.561159879818"
"2016-01-26 10:28:31:766331" "withmeness: 0.561159879818"
"2016-01-26 10:28:32:788344" "withmeness: 0.561159879818"
"2016-01-26 10:28:33:788924" "withmeness: 0.561159879818"
"2016-01-26 10:28:34:790314" "withmeness: 0.561159879818"
"2016-01-26 10:28:35:790642" "withmeness: 0.561159879818"
"2016-01-26 10:28:36:791906" "withmeness: 0.561159879818"
"2016-01-26 10:28:37:793109" "withmeness: 0.561159879818"
"2016-01-26 10:28:38:794635" "withmeness: 0.561159879818"
"2016-01-26 10:28:39:795804" "withmeness: 0.561159879818"
"2016-01-26 10:28:40:797115" "withmeness: 0.561159879818"
"2016-01-26 10:28:41:798989" "withmeness: 0.561159879818"
"2016-01-26 10:28:42:798884" "withmeness: 0.561159879818"
"2016-01-26 10:28:43:799142" "withmeness: 0.561159879818"
"2016-01-26 10:28:44:800317" "withmeness: 0.605043891836"
"2016-01-26 10:28:45:800881" "withmeness: 0.644539502652"
"2016-01-26 10:28:46:802076" "withmeness: 0.680085552387"
"2016-01-26 10:28:47:803304" "withmeness: 0.680085552387"
"2016-01-26 10:28:48:804547" "withmeness: 0.680085552387"
"2016-01-26 10:28:49:828190" "withmeness: 0.680085552387"
"2016-01-26 10:28:50:828414" "withmeness: 0.680085552387"
"2016-01-26 10:28:51:828698" "withmeness: 0.680085552387"
"2016-01-26 10:28:52:829978" "withmeness: 0.680085552387"
"2016-01-26 10:28:53:831339" "withmeness: 0.680085552387"
"2016-01-26 10:28:54:832412" "withmeness: 0.680085552387"
"2016-01-26 10:28:55:833855" "withmeness: 0.680085552387"
"2016-01-26 10:28:56:835059" "withmeness: 0.680085552387"
"2016-01-26 10:28:57:835889" "withmeness: 0.680085552387"
"2016-01-26 10:28:58:836424" "withmeness: 0.680085552387"
"2016-01-26 10:28:59:837838" "withmeness: 0.680085552387"
"2016-01-26 10:29:00:838366" "withmeness: 0.680085552387"
"2016-01-26 10:29:01:838543" "withmeness: 0.680085552387"
"2016-01-26 10:29:02:839906" "withmeness: 0.680085552387"
"2016-01-26 10:29:03:844443" "withmeness: 0.680085552387"
"2016-01-26 10:29:04:853030" "withmeness: 0.680085552387"
"2016-01-26 10:29:05:853181" "withmeness: 0.680085552387"
"2016-01-26 10:29:06:869000" "withmeness: 0.680085552387"
"2016-01-26 10:29:07:888112" "withmeness: 0.680085552387"
"2016-01-26 10:29:08:908382" "withmeness: 0.680085552387"
"2016-01-26 10:29:09:909604" "withmeness: 0.680085552387"
"2016-01-26 10:29:10:910063" "withmeness: 0.680085552387"
"2016-01-26 10:29:11:911569" "withmeness: 0.680085552387"
"2016-01-26 10:29:12:912610" "withmeness: 0.680085552387"
"2016-01-26 10:29:13:913792" "withmeness: 0.680085552387"
